"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_81rl","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display"
"1",1605104043369,1,"11/11/2020 15:14:03","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","AliceSportIntroPictureMapping","",NA,"BEGIN TASK",NA,"","","","",NA,NA,"",NA,""
"10",1605105074735,1,"11/11/2020 15:31:14","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",4,"PictureMapping","Zone3","continue_button","83690.4010096116",NA,NA,"",NA,"SportenPictureMapping"
"11",1605105076869,1,"11/11/2020 15:31:16","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",5,"JoL2","Two","response_button_text","83690.4010096116",NA,NA,"4",1,"SportenPictureMapping"
"12",1605105078621,1,"11/11/2020 15:31:18","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",6,"InstructieToets","advancementZone","continue_button","83690.4010096116",NA,NA,"",NA,"SportenPictureMapping"
"13",1605105149053,1,"11/11/2020 15:32:29","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",7,"Test","buttonA","response_text_area","83690.4010096116",NA,NA,"wge1U4hc1",NA,"SportenPictureMapping"
"14",1605105149055,1,"11/11/2020 15:32:29","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",7,"Test","buttonB","continue_button","83690.4010096116",NA,NA,"",NA,"SportenPictureMapping"
"15",1605105150941,1,"11/11/2020 15:32:30","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",4,"1",1,"Screen 1","advancementZone","continue_button","83690.4010096116",NA,NA,"",NA,"ReadyForExperiment"
"16",1605105150945,1,"11/11/2020 15:32:30","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","AliceSportIntroPictureMapping","",NA,"END TASK",NA,"","","","1107576",NA,NA,"",NA,""
"2",1605104046302,1,"11/11/2020 15:14:06","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",1,"1",1,"Screen 1","advancementZone","continue_button","83690.4010096116",NA,NA,"",NA,"IntroAlice"
"3",1605104056305,1,"11/11/2020 15:14:16","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","AliceSportIntroPictureMapping","",NA,"",NA,"","","","83690.4010096116",NA,NA,"A loading delay of more than 10s was detected.",NA,""
