"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_81rl","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display","Diagram_Box_Require_Response"
"1",1604079018835,1,"30/10/2020 18:30:18","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","FeedbackOnly","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,"",NA,"",NA
"10",1604079250560,1,"30/10/2020 18:34:10","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","FeedbackOnly","FeedbackOnly",1,"1",1,"Text","advancementZone","continue_button",21264.32,NA,NA,"",NA,"MetroFeedbackOnly",NA
"11",1604079252537,1,"30/10/2020 18:34:12","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","FeedbackOnly","FeedbackOnly",1,"1",2,"JoL1","Three","response_button_text",21264.32,NA,NA,"1",1,"MetroFeedbackOnly",NA
"12",1604079258750,1,"30/10/2020 18:34:18","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","FeedbackOnly","FeedbackOnly",1,"1",3,"Feedback","Zone1","continue_button",21264.32,NA,NA,"",NA,"MetroFeedbackOnly",NA
"13",1604079261835,1,"30/10/2020 18:34:21","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","FeedbackOnly","FeedbackOnly",1,"1",4,"JoL2","Three","response_button_text",21264.32,NA,NA,"1",1,"MetroFeedbackOnly",NA
"14",1604079262698,1,"30/10/2020 18:34:22","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","FeedbackOnly","FeedbackOnly",1,"1",5,"InstructieToets","advancementZone","continue_button",21264.32,NA,NA,"",NA,"MetroFeedbackOnly",NA
"15",1604079309654,1,"30/10/2020 18:35:09","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","FeedbackOnly","FeedbackOnly",1,"1",6,"Test","buttonA","response_text_area",21264.32,NA,NA,"kJibZHOAbW",NA,"MetroFeedbackOnly",NA
"16",1604079309658,1,"30/10/2020 18:35:09","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","FeedbackOnly","FeedbackOnly",1,"1",6,"Test","buttonB","continue_button",21264.32,NA,NA,"",NA,"MetroFeedbackOnly",NA
"17",1604079312125,1,"30/10/2020 18:35:12","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","FeedbackOnly","FeedbackOnly",4,"2",1,"ReadyForNext","advancementZone","continue_button",21264.32,NA,NA,"",NA,"ReadyForNextTextScreen",NA
"18",1604079343250,1,"30/10/2020 18:35:43","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","FeedbackOnly","FeedbackOnly",7,"1",1,"Text","advancementZone","continue_button",21264.32,NA,NA,"",NA,"MuziekFeedbackOnly",NA
"19",1604079344596,1,"30/10/2020 18:35:44","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","FeedbackOnly","FeedbackOnly",7,"1",2,"JoL1","Four","response_button_text",21264.32,NA,NA,"1",1,"MuziekFeedbackOnly",NA
"2",1604079075981,1,"30/10/2020 18:31:15","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","FeedbackOnly","FeedbackOnly",11,"1",1,"Text","advancementZone","continue_button",21264.32,NA,NA,"",NA,"SuezFeedbackOnly",NA
"20",1604079349892,1,"30/10/2020 18:35:49","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","FeedbackOnly","FeedbackOnly",7,"1",3,"Feedback","Zone1","continue_button",21264.32,NA,NA,"",NA,"MuziekFeedbackOnly",NA
