"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_81rl","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display"
"1",1601714422603,2,"03/10/2020 10:40:22","BLIND",5934944,NA,"complete",NA,"5f7837368f17cf015cc21f91","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","2560x1440","2560x1330","DiagramFeedback","AliceDiagramFeedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,""
"2",1601714427442,2,"03/10/2020 10:40:27","BLIND",5934944,NA,"complete",NA,"5f7837368f17cf015cc21f91","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","2560x1440","2560x1330","DiagramFeedback","AliceDiagramFeedback","AliceDiagramFeedback",1,"1",1,"Screen 1","advancementZone","continue_button",14102.81,NA,NA,NA,NA,"IntroAlice"
"3",1601714600799,2,"03/10/2020 10:43:20","BLIND",5934944,NA,"complete",NA,"5f7837368f17cf015cc21f91","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","2560x1440","2560x1330","DiagramFeedback","AliceDiagramFeedback","AliceDiagramFeedback",2,"1",1,"Screen 2","content","content_video",14102.81,NA,NA,NA,NA,"AliceDiagramFeedbackIntroVid"
"4",1601714604036,2,"03/10/2020 10:43:24","BLIND",5934944,NA,"complete",NA,"5f7837368f17cf015cc21f91","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","2560x1440","2560x1330","DiagramFeedback","AliceDiagramFeedback","AliceDiagramFeedback",2,"1",2,"Klaar4Sporten","advancementZone","continue_button",14102.81,NA,NA,NA,NA,"AliceDiagramFeedbackIntroVid"
"5",1601714604040,2,"03/10/2020 10:43:24","BLIND",5934944,NA,"complete",NA,"5f7837368f17cf015cc21f91","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","2560x1440","2560x1330","DiagramFeedback","AliceDiagramFeedback","",NA,"END TASK",NA,"","","",181437,NA,NA,NA,NA,""
"1",1601666157051,2,"02/10/2020 21:15:57","BLIND",6761511,NA,"complete",NA,"5f777afc5279d22b4717e970","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1920x1080","1920x979","DiagramFeedback","AliceDiagramFeedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,""
"2",1601666615175,2,"02/10/2020 21:23:35","BLIND",6761511,NA,"complete",NA,"5f777afc5279d22b4717e970","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1920x1080","1920x979","DiagramFeedback","AliceDiagramFeedback","AliceDiagramFeedback",1,"1",1,"Screen 1","advancementZone","continue_button",14102.81,NA,NA,NA,NA,"IntroAlice"
"3",1601666788663,2,"02/10/2020 21:26:28","BLIND",6761511,NA,"complete",NA,"5f777afc5279d22b4717e970","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1920x1080","1920x979","DiagramFeedback","AliceDiagramFeedback","AliceDiagramFeedback",2,"1",1,"Screen 2","content","content_video",14102.81,NA,NA,NA,NA,"AliceDiagramFeedbackIntroVid"
"4",1601667272161,2,"02/10/2020 21:34:32","BLIND",6761511,NA,"complete",NA,"5f777afc5279d22b4717e970","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1920x1080","1920x979","DiagramFeedback","AliceDiagramFeedback","AliceDiagramFeedback",2,"1",2,"Klaar4Sporten","advancementZone","continue_button",14102.81,NA,NA,NA,NA,"AliceDiagramFeedbackIntroVid"
"5",1601667272170,2,"02/10/2020 21:34:32","BLIND",6761511,NA,"complete",NA,"5f777afc5279d22b4717e970","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1920x1080","1920x979","DiagramFeedback","AliceDiagramFeedback","",NA,"END TASK",NA,"","","",1115119,NA,NA,NA,NA,""
