"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_81rl","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display","Diagram_Box_Require_Response"
"1",1605105152918,1,"11/11/2020 15:32:32","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","PictureMapping","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,"",NA,"",NA
"10",1605105304719,1,"11/11/2020 15:35:04","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","PictureMapping","PictureMapping",9,"1",7,"Test","buttonB","continue_button",25180.34,NA,NA,"",NA,"MuziekPictureMapping",NA
"11",1605105306982,1,"11/11/2020 15:35:06","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","PictureMapping","PictureMapping",2,"1",1,"ReadyForNext","advancementZone","continue_button",25180.34,NA,NA,"",NA,"ReadyForNextTextScreen",NA
"12",1605105337454,1,"11/11/2020 15:35:37","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","PictureMapping","PictureMapping",1,"1",1,"Text","advancementZone","continue_button",25180.34,NA,NA,"",NA,"MetroPictureMapping",NA
"13",1605105338749,1,"11/11/2020 15:35:38","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","PictureMapping","PictureMapping",1,"1",2,"JoL1","Three","response_button_text",25180.34,NA,NA,"1",1,"MetroPictureMapping",NA
"14",1605105340281,1,"11/11/2020 15:35:40","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","PictureMapping","PictureMapping",1,"1",3,"IntroPictureMapping","advancementZone","continue_keyboard",25180.34,NA,NA,"",NA,"MetroPictureMapping",NA
"15",1605105392614,1,"11/11/2020 15:36:32","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","PictureMapping","PictureMapping",1,"1",4,"PictureMapping","advancementZone","response_text_entry",25180.34,NA,NA,"4",NA,"MetroPictureMapping",NA
"16",1605105392616,1,"11/11/2020 15:36:32","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","PictureMapping","PictureMapping",1,"1",4,"PictureMapping","Zone1","continue_button",25180.34,NA,NA,"",NA,"MetroPictureMapping",NA
"17",1605105394126,1,"11/11/2020 15:36:34","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","PictureMapping","PictureMapping",1,"1",5,"JoL2","Three","response_button_text",25180.34,NA,NA,"1",1,"MetroPictureMapping",NA
"18",1605105395557,1,"11/11/2020 15:36:35","BLIND",1071064,NA,"complete",NA,"5fabf11c85a54d0b95e9da33","computer","Desktop or Laptop","Windows 10","Firefox 82.0","1920x1080","1920x966","PictureMapping","PictureMapping","PictureMapping",1,"1",6,"InstructieToets","advancementZone","continue_button",25180.34,NA,NA,"",NA,"MetroPictureMapping",NA
