"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_81rl","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display"
"1",1604133967807,1,"31/10/2020 09:46:07","BLIND",1677988,NA,"complete",NA,"5f9d23e0267c432304f67e18","computer","Desktop or Laptop","Windows 10","Edge 86.0.622.56","1920x1080","1920x937","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"BEGIN TASK",NA,"","","","",NA,NA,"",NA,""
"2",1604133971804,1,"31/10/2020 09:46:11","BLIND",1677988,NA,"complete",NA,"5f9d23e0267c432304f67e18","computer","Desktop or Laptop","Windows 10","Edge 86.0.622.56","1920x1080","1920x937","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",1,"1",1,"Screen 1","advancementZone","continue_button","48735.3",NA,NA,"",NA,"IntroAlice"
"3",1604134129475,1,"31/10/2020 09:48:49","BLIND",1677988,NA,"complete",NA,"5f9d23e0267c432304f67e18","computer","Desktop or Laptop","Windows 10","Edge 86.0.622.56","1920x1080","1920x937","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",1,"Screen 1","content","content_video","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"4",1604134131698,1,"31/10/2020 09:48:51","BLIND",1677988,NA,"complete",NA,"5f9d23e0267c432304f67e18","computer","Desktop or Laptop","Windows 10","Edge 86.0.622.56","1920x1080","1920x937","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",2,"Klaar4Sporten","advancementZone","continue_button","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"5",1604134131701,1,"31/10/2020 09:48:51","BLIND",1677988,NA,"complete",NA,"5f9d23e0267c432304f67e18","computer","Desktop or Laptop","Windows 10","Edge 86.0.622.56","1920x1080","1920x937","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"END TASK",NA,"","","","163895",NA,NA,"",NA,""
"1",1604174570491,1,"31/10/2020 21:02:50","BLIND",2305701,NA,"complete",NA,"5f9dc268f62942336d200402","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1920x1080","1920x937","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"BEGIN TASK",NA,"","","","",NA,NA,"",NA,""
"2",1604174574906,1,"31/10/2020 21:02:54","BLIND",2305701,NA,"complete",NA,"5f9dc268f62942336d200402","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1920x1080","1920x937","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",1,"1",1,"Screen 1","advancementZone","continue_button","48735.3",NA,NA,"",NA,"IntroAlice"
"3",1604174730354,1,"31/10/2020 21:05:30","BLIND",2305701,NA,"complete",NA,"5f9dc268f62942336d200402","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1920x1080","1920x937","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",1,"Screen 1","content","content_video","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"4",1604174733282,1,"31/10/2020 21:05:33","BLIND",2305701,NA,"complete",NA,"5f9dc268f62942336d200402","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1920x1080","1920x937","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",2,"Klaar4Sporten","advancementZone","continue_button","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"5",1604174733285,1,"31/10/2020 21:05:33","BLIND",2305701,NA,"complete",NA,"5f9dc268f62942336d200402","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1920x1080","1920x937","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"END TASK",NA,"","","","162794",NA,NA,"",NA,""
"1",1604234985137,1,"01/11/2020 13:49:45","BLIND",2330287,NA,"complete",NA,"5f9eae9c8e66eb45735ff3b4","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1536x864","1536x722","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"BEGIN TASK",NA,"","","","",NA,NA,"",NA,""
"2",1604234989480,1,"01/11/2020 13:49:49","BLIND",2330287,NA,"complete",NA,"5f9eae9c8e66eb45735ff3b4","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1536x864","1536x722","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",1,"1",1,"Screen 1","advancementZone","continue_button","48735.3",NA,NA,"",NA,"IntroAlice"
"3",1604235149839,1,"01/11/2020 13:52:29","BLIND",2330287,NA,"complete",NA,"5f9eae9c8e66eb45735ff3b4","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1536x864","1536x722","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",1,"Screen 1","content","content_video","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"4",1604235156814,1,"01/11/2020 13:52:36","BLIND",2330287,NA,"complete",NA,"5f9eae9c8e66eb45735ff3b4","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1536x864","1536x722","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",2,"Klaar4Sporten","advancementZone","continue_button","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"5",1604235156820,1,"01/11/2020 13:52:36","BLIND",2330287,NA,"complete",NA,"5f9eae9c8e66eb45735ff3b4","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1536x864","1536x722","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"END TASK",NA,"","","","171684",NA,NA,"",NA,""
"1",1604146124708,1,"31/10/2020 13:08:44","BLIND",2407233,NA,"complete",NA,"5f9d538f2225542556b705aa","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 86.0.4240.111","1440x900","1440x789","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"BEGIN TASK",NA,"","","","",NA,NA,"",NA,""
"2",1604146127338,1,"31/10/2020 13:08:47","BLIND",2407233,NA,"complete",NA,"5f9d538f2225542556b705aa","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 86.0.4240.111","1440x900","1440x789","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",1,"1",1,"Screen 1","advancementZone","continue_button","48735.3",NA,NA,"",NA,"IntroAlice"
"3",1604146284609,1,"31/10/2020 13:11:24","BLIND",2407233,NA,"complete",NA,"5f9d538f2225542556b705aa","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 86.0.4240.111","1440x900","1440x789","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",1,"Screen 1","content","content_video","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"4",1604146286585,1,"31/10/2020 13:11:26","BLIND",2407233,NA,"complete",NA,"5f9d538f2225542556b705aa","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 86.0.4240.111","1440x900","1440x789","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",2,"Klaar4Sporten","advancementZone","continue_button","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"5",1604146286588,1,"31/10/2020 13:11:26","BLIND",2407233,NA,"complete",NA,"5f9d538f2225542556b705aa","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 86.0.4240.111","1440x900","1440x789","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"END TASK",NA,"","","","161880",NA,NA,"",NA,""
"1",1604070183163,1,"30/10/2020 16:03:03","BLIND",2416880,NA,"complete",NA,"5f9c2aeee233d9060291ac5b","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0","768x1024","1024x665","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"BEGIN TASK",NA,"","","","",NA,NA,"",NA,""
"2",1604070187575,1,"30/10/2020 16:03:07","BLIND",2416880,NA,"complete",NA,"5f9c2aeee233d9060291ac5b","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0","768x1024","1024x665","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",1,"1",1,"Screen 1","advancementZone","continue_button","48735.3",NA,NA,"",NA,"IntroAlice"
"3",1604070197585,1,"30/10/2020 16:03:17","BLIND",2416880,NA,"complete",NA,"5f9c2aeee233d9060291ac5b","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0","768x1024","1024x665","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"",NA,"","","","48735.3",NA,NA,"A loading delay of more than 10s was detected.",NA,""
"4",1604070369805,1,"30/10/2020 16:06:09","BLIND",2416880,NA,"complete",NA,"5f9c2aeee233d9060291ac5b","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0","768x1024","1024x665","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",1,"Screen 1","content","content_video","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"5",1604070372822,1,"30/10/2020 16:06:12","BLIND",2416880,NA,"complete",NA,"5f9c2aeee233d9060291ac5b","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0","768x1024","1024x665","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",2,"Klaar4Sporten","advancementZone","continue_button","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"6",1604070372827,1,"30/10/2020 16:06:12","BLIND",2416880,NA,"complete",NA,"5f9c2aeee233d9060291ac5b","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0","768x1024","1024x665","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"END TASK",NA,"","","","189664",NA,NA,"",NA,""
"1",1604071761615,1,"30/10/2020 16:29:21","BLIND",2990175,NA,"complete",NA,"5f9c3108c4959d074c483d9e","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","2560x1440","2560x1241","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"BEGIN TASK",NA,"","","","",NA,NA,"",NA,""
"2",1604071764705,1,"30/10/2020 16:29:24","BLIND",2990175,NA,"complete",NA,"5f9c3108c4959d074c483d9e","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","2560x1440","2560x1241","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",1,"1",1,"Screen 1","advancementZone","continue_button","48735.3",NA,NA,"",NA,"IntroAlice"
"3",1604071920161,1,"30/10/2020 16:32:00","BLIND",2990175,NA,"complete",NA,"5f9c3108c4959d074c483d9e","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","2560x1440","2560x1241","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",1,"Screen 1","content","content_video","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"4",1604071925141,1,"30/10/2020 16:32:05","BLIND",2990175,NA,"complete",NA,"5f9c3108c4959d074c483d9e","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","2560x1440","2560x1241","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",2,"Klaar4Sporten","advancementZone","continue_button","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"5",1604071925144,1,"30/10/2020 16:32:05","BLIND",2990175,NA,"complete",NA,"5f9c3108c4959d074c483d9e","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","2560x1440","2560x1241","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"END TASK",NA,"","","","163529",NA,NA,"",NA,""
"1",1605791063880,1,"19/11/2020 14:04:23","BLIND",5056135,NA,"complete",NA,"5fb66d1a22445f38ef3d7384","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.198","1920x1080","1920x937","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"BEGIN TASK",NA,"","","","",NA,NA,"",NA,""
"2",1605791071029,1,"19/11/2020 14:04:31","BLIND",5056135,NA,"complete",NA,"5fb66d1a22445f38ef3d7384","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.198","1920x1080","1920x937","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",1,"1",1,"Screen 1","advancementZone","continue_button","48735.3",NA,NA,"",NA,"IntroAlice"
"3",1605791226488,1,"19/11/2020 14:07:06","BLIND",5056135,NA,"complete",NA,"5fb66d1a22445f38ef3d7384","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.198","1920x1080","1920x937","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",1,"Screen 1","content","content_video","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"4",1605791227647,1,"19/11/2020 14:07:07","BLIND",5056135,NA,"complete",NA,"5fb66d1a22445f38ef3d7384","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.198","1920x1080","1920x937","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",2,"Klaar4Sporten","advancementZone","continue_button","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"5",1605791227653,1,"19/11/2020 14:07:07","BLIND",5056135,NA,"complete",NA,"5fb66d1a22445f38ef3d7384","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.198","1920x1080","1920x937","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"END TASK",NA,"","","","163773",NA,NA,"",NA,""
"1",1604787313356,1,"07/11/2020 23:15:13","BLIND",5212428,NA,"complete",NA,"5fa71c17d5f64b431faa66b2","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 86.0.4240.111","1280x800","1280x721","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"BEGIN TASK",NA,"","","","",NA,NA,"",NA,""
"2",1604787317449,1,"07/11/2020 23:15:17","BLIND",5212428,NA,"complete",NA,"5fa71c17d5f64b431faa66b2","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 86.0.4240.111","1280x800","1280x721","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",1,"1",1,"Screen 1","advancementZone","continue_button","48735.3",NA,NA,"",NA,"IntroAlice"
"3",1604787472875,1,"07/11/2020 23:17:52","BLIND",5212428,NA,"complete",NA,"5fa71c17d5f64b431faa66b2","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 86.0.4240.111","1280x800","1280x721","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",1,"Screen 1","content","content_video","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"4",1604787476132,1,"07/11/2020 23:17:56","BLIND",5212428,NA,"complete",NA,"5fa71c17d5f64b431faa66b2","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 86.0.4240.111","1280x800","1280x721","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",2,"Klaar4Sporten","advancementZone","continue_button","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"5",1604787476135,1,"07/11/2020 23:17:56","BLIND",5212428,NA,"complete",NA,"5fa71c17d5f64b431faa66b2","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 86.0.4240.111","1280x800","1280x721","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"END TASK",NA,"","","","162780",NA,NA,"",NA,""
"1",1604080952584,1,"30/10/2020 19:02:32","BLIND",5254136,NA,"complete",NA,"5f9c503fb66c570d26fc2433","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1920x1080","2400x1171","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"BEGIN TASK",NA,"","","","",NA,NA,"",NA,""
"2",1604081201876,1,"30/10/2020 19:06:41","BLIND",5254136,NA,"complete",NA,"5f9c503fb66c570d26fc2433","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1920x1080","2400x1171","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",1,"1",1,"Screen 1","advancementZone","continue_button","48735.3",NA,NA,"",NA,"IntroAlice"
"3",1604081357392,1,"30/10/2020 19:09:17","BLIND",5254136,NA,"complete",NA,"5f9c503fb66c570d26fc2433","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1920x1080","2400x1171","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",1,"Screen 1","content","content_video","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"4",1604081361446,1,"30/10/2020 19:09:21","BLIND",5254136,NA,"complete",NA,"5f9c503fb66c570d26fc2433","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1920x1080","2400x1171","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",2,"Klaar4Sporten","advancementZone","continue_button","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"5",1604081361450,1,"30/10/2020 19:09:21","BLIND",5254136,NA,"complete",NA,"5f9c503fb66c570d26fc2433","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1920x1080","2400x1171","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"END TASK",NA,"","","","408866",NA,NA,"",NA,""
"1",1604076256957,1,"30/10/2020 17:44:16","BLIND",5962975,NA,"complete",NA,"5f9c42960517c60b01638fb0","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1536x864","1536x754","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"BEGIN TASK",NA,"","","","",NA,NA,"",NA,""
"2",1604076261567,1,"30/10/2020 17:44:21","BLIND",5962975,NA,"complete",NA,"5f9c42960517c60b01638fb0","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1536x864","1536x754","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",1,"1",1,"Screen 1","advancementZone","continue_button","48735.3",NA,NA,"",NA,"IntroAlice"
"3",1604076419199,1,"30/10/2020 17:46:59","BLIND",5962975,NA,"complete",NA,"5f9c42960517c60b01638fb0","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1536x864","1536x754","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",1,"Screen 1","content","content_video","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"4",1604076422326,1,"30/10/2020 17:47:02","BLIND",5962975,NA,"complete",NA,"5f9c42960517c60b01638fb0","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1536x864","1536x754","DiagramNoFeedback","AliceDiagramNoFeedback","AliceDiagramNoFeedback",2,"1",2,"Klaar4Sporten","advancementZone","continue_button","48735.3",NA,NA,"",NA,"AliceDiagramNoFeedbackIntoVid"
"5",1604076422328,1,"30/10/2020 17:47:02","BLIND",5962975,NA,"complete",NA,"5f9c42960517c60b01638fb0","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1536x864","1536x754","DiagramNoFeedback","AliceDiagramNoFeedback","",NA,"END TASK",NA,"","","","165372",NA,NA,"",NA,""
