"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_81rl","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display","Diagram_Box_Require_Response"
"1",1601714605550,2,"03/10/2020 10:43:25","BLIND",5934944,NA,"complete",NA,"5f7837368f17cf015cc21f91","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","2560x1440","2560x1330","DiagramFeedback","DiagramFeedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,"",NA,"",NA
"10",1601714733804,2,"03/10/2020 10:45:33","BLIND",5934944,NA,"complete",NA,"5f7837368f17cf015cc21f91","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","2560x1440","2560x1330","DiagramFeedback","DiagramFeedback","DiagramFeedback",1,"1",5,"JoL2","Three","response_button_text",25360.9780740746,NA,NA,"3",1,"SportenDiagramFeedback",NA
"11",1601714736340,2,"03/10/2020 10:45:36","BLIND",5934944,NA,"complete",NA,"5f7837368f17cf015cc21f91","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","2560x1440","2560x1330","DiagramFeedback","DiagramFeedback","DiagramFeedback",1,"1",6,"InstructieToets","advancementZone","continue_button",25360.9780740746,NA,NA,"",NA,"SportenDiagramFeedback",NA
"12",1601714780252,2,"03/10/2020 10:46:20","BLIND",5934944,NA,"complete",NA,"5f7837368f17cf015cc21f91","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","2560x1440","2560x1330","DiagramFeedback","DiagramFeedback","DiagramFeedback",1,"1",7,"Test","buttonA","response_text_area",25360.9780740746,NA,NA,"V449e4JHXf",NA,"SportenDiagramFeedback",NA
"13",1601714780253,2,"03/10/2020 10:46:20","BLIND",5934944,NA,"complete",NA,"5f7837368f17cf015cc21f91","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","2560x1440","2560x1330","DiagramFeedback","DiagramFeedback","DiagramFeedback",1,"1",7,"Test","buttonB","continue_button",25360.9780740746,NA,NA,"",NA,"SportenDiagramFeedback",NA
"14",1601714782572,2,"03/10/2020 10:46:22","BLIND",5934944,NA,"complete",NA,"5f7837368f17cf015cc21f91","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","2560x1440","2560x1330","DiagramFeedback","DiagramFeedback","DiagramFeedback",1,"1",8,"Klaar4Experiment","advancementZone","continue_button",25360.9780740746,NA,NA,"",NA,"SportenDiagramFeedback",NA
"15",1601714835988,2,"03/10/2020 10:47:15","BLIND",5934944,NA,"complete",NA,"5f7837368f17cf015cc21f91","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","2560x1440","2560x1330","DiagramFeedback","DiagramFeedback","DiagramFeedback",12,"1",1,"Text","advancementZone","continue_button",25360.9780740746,NA,NA,"",NA,"GeldDiagramFeedback",NA
"16",1601714837133,2,"03/10/2020 10:47:17","BLIND",5934944,NA,"complete",NA,"5f7837368f17cf015cc21f91","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","2560x1440","2560x1330","DiagramFeedback","DiagramFeedback","DiagramFeedback",12,"1",2,"JoL1","One","response_button_text",25360.9780740746,NA,NA,"3",1,"GeldDiagramFeedback",NA
"17",1601714917838,2,"03/10/2020 10:48:37","BLIND",5934944,NA,"complete",NA,"5f7837368f17cf015cc21f91","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","2560x1440","2560x1330","DiagramFeedback","DiagramFeedback","DiagramFeedback",12,"1",3,"Diagram","DiagBox2","response_text_area",25360.9780740746,NA,NA,"E2rYi3",NA,"GeldDiagramFeedback",NA
"18",1601714917839,2,"03/10/2020 10:48:37","BLIND",5934944,NA,"complete",NA,"5f7837368f17cf015cc21f91","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","2560x1440","2560x1330","DiagramFeedback","DiagramFeedback","DiagramFeedback",12,"1",3,"Diagram","DiagBox3","response_text_area",25360.9780740746,NA,NA,"lmC3CYz",NA,"GeldDiagramFeedback",NA
