"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_81rl","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display"
"1",1604078761035,1,"30/10/2020 18:26:01","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","AliceSportIntoFeedbackOnly","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,"",NA,""
"10",1604079014782,1,"30/10/2020 18:30:14","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","AliceSportIntoFeedbackOnly","AliceSportIntoFeedbackOnly",3,"1",6,"Test","buttonA","response_text_area",28040.3303030323,NA,NA,"u3TJuIVD",NA,"SportenFeedbackOnly"
"11",1604079014784,1,"30/10/2020 18:30:14","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","AliceSportIntoFeedbackOnly","AliceSportIntoFeedbackOnly",3,"1",6,"Test","buttonB","continue_button",28040.3303030323,NA,NA,"",NA,"SportenFeedbackOnly"
"12",1604079017158,1,"30/10/2020 18:30:17","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","AliceSportIntoFeedbackOnly","AliceSportIntoFeedbackOnly",4,"1",1,"Screen 1","advancementZone","continue_button",28040.3303030323,NA,NA,"",NA,"ReadyForExperiment"
"13",1604079017162,1,"30/10/2020 18:30:17","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","AliceSportIntoFeedbackOnly","",NA,"END TASK",NA,"","","",256128,NA,NA,"",NA,""
"2",1604078765340,1,"30/10/2020 18:26:05","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","AliceSportIntoFeedbackOnly","AliceSportIntoFeedbackOnly",1,"1",1,"Screen 1","advancementZone","continue_button",28040.3303030323,NA,NA,"",NA,"IntroAlice"
"3",1604078874346,1,"30/10/2020 18:27:54","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","AliceSportIntoFeedbackOnly","AliceSportIntoFeedbackOnly",2,"1",1,"Screen 1","content","content_video",28040.3303030323,NA,NA,"",NA,"AliceFeedbackOnlyIntroVid"
"4",1604078875942,1,"30/10/2020 18:27:55","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","AliceSportIntoFeedbackOnly","AliceSportIntoFeedbackOnly",2,"1",2,"Klaar4Sporten","advancementZone","continue_button",28040.3303030323,NA,NA,"",NA,"AliceFeedbackOnlyIntroVid"
"5",1604078905472,1,"30/10/2020 18:28:25","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","AliceSportIntoFeedbackOnly","AliceSportIntoFeedbackOnly",3,"1",1,"Text","advancementZone","continue_button",28040.3303030323,NA,NA,"",NA,"SportenFeedbackOnly"
"6",1604078913992,1,"30/10/2020 18:28:33","BLIND",1984662,NA,"complete",NA,"5f9c4bc0ef75c70c0ab56b92","computer","Desktop or Laptop","Windows 10","Chrome 86.0.4240.111","1280x720","1280x610","FeedbackOnly","AliceSportIntoFeedbackOnly","AliceSportIntoFeedbackOnly",3,"1",2,"JoL1","Four","response_button_text",28040.3303030323,NA,NA,"2",1,"SportenFeedbackOnly"
