"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_81rl","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display","Diagram_Box_Require_Response"
"1",1604134133064,1,"31/10/2020 09:48:53","BLIND",1677988,NA,"complete",NA,"5f9d23e0267c432304f67e18","computer","Desktop or Laptop","Windows 10","Edge 86.0.622.56","1920x1080","1920x937","DiagramNoFeedback","DiagramNoFeedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,"",NA,"",NA
"10",1604134261509,1,"31/10/2020 09:51:01","BLIND",1677988,NA,"complete",NA,"5f9d23e0267c432304f67e18","computer","Desktop or Laptop","Windows 10","Edge 86.0.622.56","1920x1080","1920x937","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",1,"1",5,"JoL2","Three","response_button_text",65626.4964771186,NA,NA,"4",1,"SportenDiagramNoFeedback",NA
"11",1604134263835,1,"31/10/2020 09:51:03","BLIND",1677988,NA,"complete",NA,"5f9d23e0267c432304f67e18","computer","Desktop or Laptop","Windows 10","Edge 86.0.622.56","1920x1080","1920x937","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",1,"1",6,"InstructieToets","advancementZone","continue_button",65626.4964771186,NA,NA,"",NA,"SportenDiagramNoFeedback",NA
"12",1604134348418,1,"31/10/2020 09:52:28","BLIND",1677988,NA,"complete",NA,"5f9d23e0267c432304f67e18","computer","Desktop or Laptop","Windows 10","Edge 86.0.622.56","1920x1080","1920x937","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",1,"1",7,"Test","buttonA","response_text_area",65626.4964771186,NA,NA,"U3NBW",NA,"SportenDiagramNoFeedback",NA
"13",1604134348419,1,"31/10/2020 09:52:28","BLIND",1677988,NA,"complete",NA,"5f9d23e0267c432304f67e18","computer","Desktop or Laptop","Windows 10","Edge 86.0.622.56","1920x1080","1920x937","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",1,"1",7,"Test","buttonB","continue_button",65626.4964771186,NA,NA,"",NA,"SportenDiagramNoFeedback",NA
"14",1604134349812,1,"31/10/2020 09:52:29","BLIND",1677988,NA,"complete",NA,"5f9d23e0267c432304f67e18","computer","Desktop or Laptop","Windows 10","Edge 86.0.622.56","1920x1080","1920x937","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",1,"1",8,"Klaar4Experiment","advancementZone","continue_button",65626.4964771186,NA,NA,"",NA,"SportenDiagramNoFeedback",NA
"15",1604134412947,1,"31/10/2020 09:53:32","BLIND",1677988,NA,"complete",NA,"5f9d23e0267c432304f67e18","computer","Desktop or Laptop","Windows 10","Edge 86.0.622.56","1920x1080","1920x937","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",8,"1",1,"Text","advancementZone","continue_button",65626.4964771186,NA,NA,"",NA,"BotoxDiagramNoFeedback",NA
"16",1604134414299,1,"31/10/2020 09:53:34","BLIND",1677988,NA,"complete",NA,"5f9d23e0267c432304f67e18","computer","Desktop or Laptop","Windows 10","Edge 86.0.622.56","1920x1080","1920x937","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",8,"1",2,"JoL1","Two","response_button_text",65626.4964771186,NA,NA,"4",1,"BotoxDiagramNoFeedback",NA
"17",1604134474997,1,"31/10/2020 09:54:34","BLIND",1677988,NA,"complete",NA,"5f9d23e0267c432304f67e18","computer","Desktop or Laptop","Windows 10","Edge 86.0.622.56","1920x1080","1920x937","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",8,"1",3,"Diagram","DiagBox3","response_text_area",65626.4964771186,NA,NA,"6xnoE",NA,"BotoxDiagramNoFeedback",NA
"18",1604134474998,1,"31/10/2020 09:54:34","BLIND",1677988,NA,"complete",NA,"5f9d23e0267c432304f67e18","computer","Desktop or Laptop","Windows 10","Edge 86.0.622.56","1920x1080","1920x937","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",8,"1",3,"Diagram","DiagBox4","response_text_area",65626.4964771186,NA,NA,"YnL",NA,"BotoxDiagramNoFeedback",NA
