"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_bod5","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display","Diagram_Box_Require_Response"
"1",1617195504316,2,"31/03/2021 14:58:24","BLIND",1289491,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1617195532902,2,"31/03/2021 14:58:52","BLIND",1289491,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart2_Feedback","MuziekPart2_Feedback",1,"1",1,"Feedback","Zone1","continue_button",38131.487,NA,NA,NA,NA,"MuziekFeedback",NA
"3",1617195532912,2,"31/03/2021 14:58:52","BLIND",1289491,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart2_Feedback","",NA,"END TASK",NA,"","","",28596,NA,NA,NA,NA,"",NA
"1",1617119737342,2,"30/03/2021 17:55:37","BLIND",1334869,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1617119751296,2,"30/03/2021 17:55:51","BLIND",1334869,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart2_Feedback","MuziekPart2_Feedback",1,"1",1,"Feedback","Zone1","continue_button",38131.487,NA,NA,NA,NA,"MuziekFeedback",NA
"3",1617119751300,2,"30/03/2021 17:55:51","BLIND",1334869,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart2_Feedback","",NA,"END TASK",NA,"","","",13958,NA,NA,NA,NA,"",NA
"1",1617020227845,2,"29/03/2021 14:17:07","BLIND",3380474,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1617020243996,2,"29/03/2021 14:17:23","BLIND",3380474,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart2_Feedback","MuziekPart2_Feedback",1,"1",1,"Feedback","Zone1","continue_button",38131.487,NA,NA,NA,NA,"MuziekFeedback",NA
"3",1617020244002,2,"29/03/2021 14:17:24","BLIND",3380474,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart2_Feedback","",NA,"END TASK",NA,"","","",16158,NA,NA,NA,NA,"",NA
"1",1617033335208,2,"29/03/2021 17:55:35","BLIND",4211358,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1617033344543,2,"29/03/2021 17:55:44","BLIND",4211358,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart2_Feedback","MuziekPart2_Feedback",1,"1",1,"Feedback","Zone1","continue_button",38131.487,NA,NA,NA,NA,"MuziekFeedback",NA
"3",1617033344547,2,"29/03/2021 17:55:44","BLIND",4211358,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart2_Feedback","",NA,"END TASK",NA,"","","",9340,NA,NA,NA,NA,"",NA
"1",1617005428909,2,"29/03/2021 10:10:28","BLIND",4457986,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1617005448723,2,"29/03/2021 10:10:48","BLIND",4457986,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart2_Feedback","MuziekPart2_Feedback",1,"1",1,"Feedback","Zone1","continue_button",38131.487,NA,NA,NA,NA,"MuziekFeedback",NA
"3",1617005448730,2,"29/03/2021 10:10:48","BLIND",4457986,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart2_Feedback","",NA,"END TASK",NA,"","","",19821,NA,NA,NA,NA,"",NA
"1",1617093065370,2,"30/03/2021 10:31:05","BLIND",5673316,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
