"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_bod5","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display","Diagram_Box_Require_Response"
"1",1615464859392,1,"11/03/2021 13:14:19","BLIND",1950622,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","GeldPart1_Text-Diagram","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,"","","",NA
"10",1615465025232,1,"11/03/2021 13:17:05","BLIND",1950622,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","GeldPart1_Text-Diagram","",NA,"END TASK",NA,"","","",165840,NA,NA,"","","",NA
"2",1615464924330,1,"11/03/2021 13:15:24","BLIND",1950622,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","GeldPart1_Text-Diagram","GeldPart1_Text-Diagram",1,"1",1,"Text","advancementZone","continue_button",59228.42,NA,NA,"","","GeldText",NA
"3",1615464925883,1,"11/03/2021 13:15:25","BLIND",1950622,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","GeldPart1_Text-Diagram","GeldPart1_Text-Diagram",2,"1",1,"JoL1","Three","response_button_text",59228.42,NA,NA,"3","1","GeldJoL1",NA
"4",1615465025222,1,"11/03/2021 13:17:05","BLIND",1950622,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","GeldPart1_Text-Diagram","GeldPart1_Text-Diagram",3,"1",1,"Diagram","DiagBox2","response_text_area",59228.42,NA,NA,"89U7A","","GeldDiagram",NA
"5",1615465025224,1,"11/03/2021 13:17:05","BLIND",1950622,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","GeldPart1_Text-Diagram","GeldPart1_Text-Diagram",3,"1",1,"Diagram","DiagBox3","response_text_area",59228.42,NA,NA,"yj","","GeldDiagram",NA
"6",1615465025225,1,"11/03/2021 13:17:05","BLIND",1950622,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","GeldPart1_Text-Diagram","GeldPart1_Text-Diagram",3,"1",1,"Diagram","DiagBox4","response_text_area",59228.42,NA,NA,"gLDVSiCeg","","GeldDiagram",NA
"7",1615465025225,1,"11/03/2021 13:17:05","BLIND",1950622,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","GeldPart1_Text-Diagram","GeldPart1_Text-Diagram",3,"1",1,"Diagram","DiagBox1","response_text_area",59228.42,NA,NA,"E5","","GeldDiagram",NA
"8",1615465025225,1,"11/03/2021 13:17:05","BLIND",1950622,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","GeldPart1_Text-Diagram","GeldPart1_Text-Diagram",3,"1",1,"Diagram","Zone1","continue_button",59228.42,NA,NA,"","","GeldDiagram",NA
"9",1615465025226,1,"11/03/2021 13:17:05","BLIND",1950622,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","GeldPart1_Text-Diagram","",NA,"",NA,"","","",59228.42,NA,NA,"","Mensen winnen de loterij en worden immens rijk,Mensen zijn niet lang bewust van mogelijke gevaren,Mensen richten zich sneller op noodzakelijke behoeften,Lottowinnaars hebben steeds meer geld nodig om die behoefte te vervullen","",NA
"1",1615548819789,1,"12/03/2021 12:33:39","BLIND",3966443,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","GeldPart1_Text-Diagram","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,"","","",NA
"10",1615549003592,1,"12/03/2021 12:36:43","BLIND",3966443,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","GeldPart1_Text-Diagram","",NA,"END TASK",NA,"","","",183803,NA,NA,"","","",NA
