"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_bod5","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display","Diagram_Box_Require_Response"
"1",1617266747416,2,"01/04/2021 10:45:47","BLIND",1088000,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1617266771485,2,"01/04/2021 10:46:11","BLIND",1088000,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","BetonPart2_Feedback",1,"1",1,"Feedback","Zone1","continue_button",74490.768,NA,NA,NA,NA,"BetonFeedback",NA
"3",1617266771491,2,"01/04/2021 10:46:11","BLIND",1088000,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"END TASK",NA,"","","",24075,NA,NA,NA,NA,"",NA
"1",1617194276436,2,"31/03/2021 14:37:56","BLIND",2305657,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1617194302221,2,"31/03/2021 14:38:22","BLIND",2305657,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","BetonPart2_Feedback",1,"1",1,"Feedback","Zone1","continue_button",74490.768,NA,NA,NA,NA,"BetonFeedback",NA
"3",1617194302226,2,"31/03/2021 14:38:22","BLIND",2305657,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"END TASK",NA,"","","",25790,NA,NA,NA,NA,"",NA
"1",1617281539616,2,"01/04/2021 14:52:19","BLIND",4054232,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1617281553732,2,"01/04/2021 14:52:33","BLIND",4054232,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","BetonPart2_Feedback",1,"1",1,"Feedback","Zone1","continue_button",74490.768,NA,NA,NA,NA,"BetonFeedback",NA
"3",1617281553736,2,"01/04/2021 14:52:33","BLIND",4054232,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"END TASK",NA,"","","",14120,NA,NA,NA,NA,"",NA
"1",1617200578840,2,"31/03/2021 16:22:58","BLIND",4631715,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1617200611792,2,"31/03/2021 16:23:31","BLIND",4631715,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","BetonPart2_Feedback",1,"1",1,"Feedback","Zone1","continue_button",74490.768,NA,NA,NA,NA,"BetonFeedback",NA
"3",1617200611799,2,"31/03/2021 16:23:31","BLIND",4631715,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"END TASK",NA,"","","",32959,NA,NA,NA,NA,"",NA
"1",1617271173962,2,"01/04/2021 11:59:33","BLIND",4808511,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1617271193833,2,"01/04/2021 11:59:53","BLIND",4808511,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","BetonPart2_Feedback",1,"1",1,"Feedback","Zone1","continue_button",74490.768,NA,NA,NA,NA,"BetonFeedback",NA
"3",1617271193840,2,"01/04/2021 11:59:53","BLIND",4808511,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"END TASK",NA,"","","",19878,NA,NA,NA,NA,"",NA
"1",1617288126834,2,"01/04/2021 16:42:06","BLIND",6245691,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1617288186797,2,"01/04/2021 16:43:06","BLIND",6245691,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","BetonPart2_Feedback",1,"1",1,"Feedback","Zone1","continue_button",74490.768,NA,NA,NA,NA,"BetonFeedback",NA
"3",1617288186800,2,"01/04/2021 16:43:06","BLIND",6245691,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"END TASK",NA,"","","",59966,NA,NA,NA,NA,"",NA
"1",1617118721239,2,"30/03/2021 17:38:41","BLIND",6509524,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1617118736334,2,"30/03/2021 17:38:56","BLIND",6509524,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","BetonPart2_Feedback",1,"1",1,"Feedback","Zone1","continue_button",74490.768,NA,NA,NA,NA,"BetonFeedback",NA
"3",1617118736342,2,"30/03/2021 17:38:56","BLIND",6509524,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"END TASK",NA,"","","",15104,NA,NA,NA,NA,"",NA
"1",1617032826207,2,"29/03/2021 17:47:06","BLIND",7785490,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1617032831857,2,"29/03/2021 17:47:11","BLIND",7785490,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","BetonPart2_Feedback",1,"1",1,"Feedback","Zone1","continue_button",74490.768,NA,NA,NA,NA,"BetonFeedback",NA
"3",1617032831860,2,"29/03/2021 17:47:11","BLIND",7785490,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"END TASK",NA,"","","",5653,NA,NA,NA,NA,"",NA
"1",1617019807813,2,"29/03/2021 14:10:07","BLIND",7815228,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1617019817446,2,"29/03/2021 14:10:17","BLIND",7815228,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","BetonPart2_Feedback",1,"1",1,"Feedback","Zone1","continue_button",74490.768,NA,NA,NA,NA,"BetonFeedback",NA
"3",1617019817450,2,"29/03/2021 14:10:17","BLIND",7815228,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"END TASK",NA,"","","",9637,NA,NA,NA,NA,"",NA
"1",1617092650128,2,"30/03/2021 10:24:10","BLIND",8059327,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1617092663063,2,"30/03/2021 10:24:23","BLIND",8059327,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","BetonPart2_Feedback",1,"1",1,"Feedback","Zone1","continue_button",74490.768,NA,NA,NA,NA,"BetonFeedback",NA
"3",1617092663070,2,"30/03/2021 10:24:23","BLIND",8059327,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"END TASK",NA,"","","",12942,NA,NA,NA,NA,"",NA
"1",1617006815107,2,"29/03/2021 10:33:35","BLIND",8970907,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1617006842362,2,"29/03/2021 10:34:02","BLIND",8970907,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","BetonPart2_Feedback",1,"1",1,"Feedback","Zone1","continue_button",74490.768,NA,NA,NA,NA,"BetonFeedback",NA
"3",1617006842366,2,"29/03/2021 10:34:02","BLIND",8970907,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"END TASK",NA,"","","",27259,NA,NA,NA,NA,"",NA
"1",1617294610931,2,"01/04/2021 18:30:10","BLIND",NA,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1617294880111,2,"01/04/2021 18:34:40","BLIND",NA,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","BetonPart2_Feedback",1,"1",1,"Feedback","Zone1","continue_button",74490.768,NA,NA,NA,NA,"BetonFeedback",NA
"3",1617294880120,2,"01/04/2021 18:34:40","BLIND",NA,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart2_Feedback","",NA,"END TASK",NA,"","","",269189,NA,NA,NA,NA,"",NA
"END OF FILE",NA,NA,"","",NA,NA,"",NA,NA,"","","","","","","","","",NA,"",NA,"","","",74490.768,NA,NA,NA,NA,"",NA
"END OF FILE",NA,NA,"","",NA,NA,"",NA,NA,"","","","","","","","","",NA,"",NA,"","","",NA,NA,NA,NA,NA,"",NA
