"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_bod5","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display","Diagram_Box_Require_Response"
"1",1615465538620,1,"11/03/2021 13:25:38","BLIND",8379995,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart4_Test","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,"",NA,"",NA
"2",1615465539820,1,"11/03/2021 13:25:39","BLIND",8379995,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart4_Test","MuziekPart4_Test",1,"1",1,"InstructieToets","advancementZone","continue_button",91312.261,NA,NA,"",NA,"MuziekTest",NA
"3",1615465599471,1,"11/03/2021 13:26:39","BLIND",8379995,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart4_Test","MuziekPart4_Test",1,"1",2,"Test","buttonA","response_text_area",91312.261,NA,NA,"6ZqeC",NA,"MuziekTest",NA
"4",1615465599473,1,"11/03/2021 13:26:39","BLIND",8379995,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart4_Test","MuziekPart4_Test",1,"1",2,"Test","buttonB","continue_button",91312.261,NA,NA,"",NA,"MuziekTest",NA
"5",1615465599479,1,"11/03/2021 13:26:39","BLIND",8379995,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart4_Test","",NA,"END TASK",NA,"","","",60859,NA,NA,"",NA,"",NA
"1",1615548453931,1,"12/03/2021 12:27:33","BLIND",8654710,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart4_Test","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,"",NA,"",NA
"2",1615548455568,1,"12/03/2021 12:27:35","BLIND",8654710,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart4_Test","MuziekPart4_Test",1,"1",1,"InstructieToets","advancementZone","continue_button",91312.261,NA,NA,"",NA,"MuziekTest",NA
"3",1615548554417,1,"12/03/2021 12:29:14","BLIND",8654710,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart4_Test","MuziekPart4_Test",1,"1",2,"Test","buttonA","response_text_area",91312.261,NA,NA,"EwUkezcY",NA,"MuziekTest",NA
"4",1615548554419,1,"12/03/2021 12:29:14","BLIND",8654710,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart4_Test","MuziekPart4_Test",1,"1",2,"Test","buttonB","continue_button",91312.261,NA,NA,"",NA,"MuziekTest",NA
"5",1615548554421,1,"12/03/2021 12:29:14","BLIND",8654710,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart4_Test","",NA,"END TASK",NA,"","","",100490,NA,NA,"",NA,"",NA
"1",1615386140798,1,"10/03/2021 15:22:20","BLIND",8695785,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart4_Test","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,"",NA,"",NA
"2",1615386143446,1,"10/03/2021 15:22:23","BLIND",8695785,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart4_Test","MuziekPart4_Test",1,"1",1,"InstructieToets","advancementZone","continue_button",91312.261,NA,NA,"",NA,"MuziekTest",NA
"3",1615386192462,1,"10/03/2021 15:23:12","BLIND",8695785,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart4_Test","MuziekPart4_Test",1,"1",2,"Test","buttonA","response_text_area",91312.261,NA,NA,"JMUAjb",NA,"MuziekTest",NA
"4",1615386192464,1,"10/03/2021 15:23:12","BLIND",8695785,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart4_Test","MuziekPart4_Test",1,"1",2,"Test","buttonB","continue_button",91312.261,NA,NA,"",NA,"MuziekTest",NA
"5",1615386192470,1,"10/03/2021 15:23:12","BLIND",8695785,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Muziek","MuziekPart4_Test","",NA,"END TASK",NA,"","","",51672,NA,NA,"",NA,"",NA
"END OF FILE",NA,NA,"","",NA,NA,"",NA,NA,"","","","","","","","","",NA,"",NA,"","","",91312.261,NA,NA,"",NA,"",NA
"END OF FILE",NA,NA,"","",NA,NA,"",NA,NA,"","","","","","","","","",NA,"",NA,"","","",NA,NA,NA,"",NA,"",NA
