"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_bod5","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display","Diagram_Box_Require_Response"
"1",1616170780384,1,"19/03/2021 17:19:40","BLIND",4717795,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","Part3_JoL2","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1616170781816,1,"19/03/2021 17:19:41","BLIND",4717795,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","Part3_JoL2","Part3_JoL2",1,"1",1,"JoL2","Three","response_button_text",3984.213,NA,NA,2,1,"JoL2",NA
"3",1616170781819,1,"19/03/2021 17:19:41","BLIND",4717795,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","Part3_JoL2","",NA,"END TASK",NA,"","","",1435,NA,NA,NA,NA,"",NA
"1",1615822061317,1,"15/03/2021 16:27:41","BLIND",6570722,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","Part3_JoL2","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1615822069043,1,"15/03/2021 16:27:49","BLIND",6570722,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","Part3_JoL2","Part3_JoL2",1,"1",1,"JoL2","Two","response_button_text",3984.213,NA,NA,2,1,"JoL2",NA
"3",1615822069047,1,"15/03/2021 16:27:49","BLIND",6570722,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","Part3_JoL2","",NA,"END TASK",NA,"","","",7730,NA,NA,NA,NA,"",NA
"1",1616159974056,1,"19/03/2021 14:19:34","BLIND",7364053,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","Part3_JoL2","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1616159975184,1,"19/03/2021 14:19:35","BLIND",7364053,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","Part3_JoL2","Part3_JoL2",1,"1",1,"JoL2","One","response_button_text",3984.213,NA,NA,2,1,"JoL2",NA
"3",1616159975187,1,"19/03/2021 14:19:35","BLIND",7364053,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","Part3_JoL2","",NA,"END TASK",NA,"","","",1131,NA,NA,NA,NA,"",NA
"1",1615817136663,1,"15/03/2021 15:05:36","BLIND",8386397,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","Part3_JoL2","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1615817138584,1,"15/03/2021 15:05:38","BLIND",8386397,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","Part3_JoL2","Part3_JoL2",1,"1",1,"JoL2","Two","response_button_text",3984.213,NA,NA,2,1,"JoL2",NA
"3",1615817138588,1,"15/03/2021 15:05:38","BLIND",8386397,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","Part3_JoL2","",NA,"END TASK",NA,"","","",1925,NA,NA,NA,NA,"",NA
"1",1616498564373,1,"23/03/2021 12:22:44","BLIND",9346782,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","Part3_JoL2","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1616498565762,1,"23/03/2021 12:22:45","BLIND",9346782,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Geld","Part3_JoL2","Part3_JoL2",1,"1",1,"JoL2","Three","response_button_text",3984.213,NA,NA,2,1,"JoL2",NA
