"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_bod5","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display","Diagram_Box_Require_Response"
"1",1617266524008,2,"01/04/2021 10:42:04","BLIND",1088000,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart1_Text-Diagram","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,"","","",NA
"10",1617266745799,2,"01/04/2021 10:45:45","BLIND",1088000,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart1_Text-Diagram","",NA,"END TASK",NA,"","","",221791,NA,NA,"","","",NA
"2",1617266610036,2,"01/04/2021 10:43:30","BLIND",1088000,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart1_Text-Diagram","BetonPart1_Text-Diagram",1,"1",1,"Text","advancementZone","continue_button",71334.62,NA,NA,"","","BetonText",NA
"3",1617266613850,2,"01/04/2021 10:43:33","BLIND",1088000,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart1_Text-Diagram","BetonPart1_Text-Diagram",2,"1",1,"JoL1","Three","response_button_text",71334.62,NA,NA,"3","1","BetonJoL1",NA
"4",1617266745777,2,"01/04/2021 10:45:45","BLIND",1088000,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart1_Text-Diagram","BetonPart1_Text-Diagram",3,"1",1,"Diagram","DiagBox2","response_text_area",71334.62,NA,NA,"ur","","BetonDiagram",NA
"5",1617266745783,2,"01/04/2021 10:45:45","BLIND",1088000,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart1_Text-Diagram","BetonPart1_Text-Diagram",3,"1",1,"Diagram","DiagBox3","response_text_area",71334.62,NA,NA,"1IX25bu","","BetonDiagram",NA
"6",1617266745783,2,"01/04/2021 10:45:45","BLIND",1088000,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart1_Text-Diagram","BetonPart1_Text-Diagram",3,"1",1,"Diagram","DiagBox4","response_text_area",71334.62,NA,NA,"Bk","","BetonDiagram",NA
"7",1617266745783,2,"01/04/2021 10:45:45","BLIND",1088000,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart1_Text-Diagram","BetonPart1_Text-Diagram",3,"1",1,"Diagram","DiagBox1","response_text_area",71334.62,NA,NA,"7PO2","","BetonDiagram",NA
"8",1617266745783,2,"01/04/2021 10:45:45","BLIND",1088000,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart1_Text-Diagram","BetonPart1_Text-Diagram",3,"1",1,"Diagram","Zone1","continue_button",71334.62,NA,NA,"","","BetonDiagram",NA
"9",1617266745784,2,"01/04/2021 10:45:45","BLIND",1088000,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart1_Text-Diagram","",NA,"",NA,"","","",71334.62,NA,NA,"","Gebouwen van beton met daarin centrale verwarming. ,Centrale verwarming kan ervoor zorgen dat beton uitdroogt. ,Door de uitdroging krimpt het beton. ,Het gebouw en de liftschachten worden kleiner. ","",NA
