"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_bod5","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display","Diagram_Box_Require_Response"
"1",1615465778020,1,"11/03/2021 13:29:38","BLIND",4174061,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart4_Test","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,"",NA,"",NA
"2",1615465779338,1,"11/03/2021 13:29:39","BLIND",4174061,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart4_Test","BetonPart4_Test",1,"1",1,"InstructieToets","advancementZone","continue_button",67121.33,NA,NA,"",NA,"BetonTest",NA
"3",1615465816595,1,"11/03/2021 13:30:16","BLIND",4174061,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart4_Test","BetonPart4_Test",1,"1",2,"Test","buttonA","response_text_area",67121.33,NA,NA,"WGsc",NA,"BetonTest",NA
"4",1615465816596,1,"11/03/2021 13:30:16","BLIND",4174061,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart4_Test","BetonPart4_Test",1,"1",2,"Test","buttonB","continue_button",67121.33,NA,NA,"",NA,"BetonTest",NA
"5",1615465816602,1,"11/03/2021 13:30:16","BLIND",4174061,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart4_Test","",NA,"END TASK",NA,"","","",38582,NA,NA,"",NA,"",NA
"1",1615387213828,1,"10/03/2021 15:40:13","BLIND",7597965,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart4_Test","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,"",NA,"",NA
"2",1615387215125,1,"10/03/2021 15:40:15","BLIND",7597965,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart4_Test","BetonPart4_Test",1,"1",1,"InstructieToets","advancementZone","continue_button",67121.33,NA,NA,"",NA,"BetonTest",NA
"3",1615387268648,1,"10/03/2021 15:41:08","BLIND",7597965,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart4_Test","BetonPart4_Test",1,"1",2,"Test","buttonA","response_text_area",67121.33,NA,NA,"4C2u5Z39",NA,"BetonTest",NA
"4",1615387268649,1,"10/03/2021 15:41:08","BLIND",7597965,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart4_Test","BetonPart4_Test",1,"1",2,"Test","buttonB","continue_button",67121.33,NA,NA,"",NA,"BetonTest",NA
"5",1615387268651,1,"10/03/2021 15:41:08","BLIND",7597965,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart4_Test","",NA,"END TASK",NA,"","","",54823,NA,NA,"",NA,"",NA
"1",1615548742911,1,"12/03/2021 12:32:22","BLIND",7911244,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart4_Test","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,"",NA,"",NA
"2",1615548744373,1,"12/03/2021 12:32:24","BLIND",7911244,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart4_Test","BetonPart4_Test",1,"1",1,"InstructieToets","advancementZone","continue_button",67121.33,NA,NA,"",NA,"BetonTest",NA
"3",1615548815407,1,"12/03/2021 12:33:35","BLIND",7911244,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart4_Test","BetonPart4_Test",1,"1",2,"Test","buttonA","response_text_area",67121.33,NA,NA,"dF",NA,"BetonTest",NA
"4",1615548815409,1,"12/03/2021 12:33:35","BLIND",7911244,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart4_Test","BetonPart4_Test",1,"1",2,"Test","buttonB","continue_button",67121.33,NA,NA,"",NA,"BetonTest",NA
"5",1615548815415,1,"12/03/2021 12:33:35","BLIND",7911244,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Beton","BetonPart4_Test","",NA,"END TASK",NA,"","","",72504,NA,NA,"",NA,"",NA
"END OF FILE",NA,NA,"","",NA,NA,"",NA,NA,"","","","","","","","","",NA,"",NA,"","","",67121.33,NA,NA,"",NA,"",NA
"END OF FILE",NA,NA,"","",NA,NA,"",NA,NA,"","","","","","","","","",NA,"",NA,"","","",NA,NA,NA,"",NA,"",NA
