Participant_ID Local_Date Trial Experiment Participant Event_Index Condition Participant_Monitor_Size Screen_Name Zone_Name Reaction_Time Response Time_On_Task Time_On_Task_New
11473 "2021-03-18 17:40:06" Geld 1 9528861 15 DiagramStandard 2560x1440 Text advancementZone 53451.763751910505 NA 29.2166666666667 22.4618468468468
11473 "2021-03-18 17:40:07" Geld 1 9528861 16 DiagramStandard 2560x1440 JoL1 Three 3314.702807026877 3 29.2166666666667 22.4618468468468
11473 "2021-03-18 17:40:08" Geld 1 9528861 17 DiagramStandard 2560x1440 Diagram DiagBox2 71535.6209319741 "SGSq msTB 2jYgLJ viP 21kHqj BXoRd CtOXLs" 29.2166666666667 22.4618468468468
11473 "2021-03-18 17:40:09" Geld 1 9528861 18 DiagramStandard 2560x1440 Diagram DiagBox3 84289.77 "Q6CpO vUIYS 69QPAp cY0O1 FD6AO Y8Im 4UPA C9wTx nFr" 29.2166666666667 22.4618468468468
11473 "2021-03-18 17:40:10" Geld 1 9528861 19 DiagramStandard 2560x1440 Diagram DiagBox4 81899.4309319741 "iG0SK bzc BQlgP ZtMI hqoYwd 3SneO7 fE6Ab cRaHP o3Q 25x4Oy VP6Yl DqFFix i7I BcwkP 3r6zb HB5 54x2" 29.2166666666667 22.4618468468468
11473 "2021-03-18 17:40:11" Geld 1 9528861 20 DiagramStandard 2560x1440 Diagram DiagBox1 32268.27 "tkJ eK5 WKdjpL 0WpTd1 ifx dUr 4yRz" 29.2166666666667 22.4618468468468
11473 "2021-03-18 17:40:12" Geld 1 9528861 21 DiagramStandard 2560x1440 Diagram Zone1 37142.1909319741 NA 29.2166666666667 22.4618468468468
11473 "2021-03-18 17:40:13" Geld 1 9528861 22 DiagramStandard 2560x1440 Standard Zone1 4794.9 NA 29.2166666666667 22.4618468468468
11473 "2021-03-18 17:40:14" Geld 1 9528861 23 DiagramStandard 2560x1440 JoL2 One 1657.7379794009526 1 29.2166666666667 22.4618468468468
11473 "2021-03-18 17:40:15" Geld 1 9528861 24 DiagramStandard 2560x1440 InstructieToets advancementZone 953.129132039563 NA 29.2166666666667 22.4618468468468
