Participant_ID Condition session_id status started_datetime completed_date_time time_taken_sec time_taken_min Time_On_Task age Sex
3643731 StandardOnly aL6kNQTKjtpV2R3vj9tUIE28 APPROVED 2020-11-22T10:36:30Z NA NA 50.2765597796143 8.89537190082642 22 Male
9899942 PictureMatching 47tKV3s2dwHrHWKmtEVlt10n APPROVED 2020-11-25T15:13:57Z NA NA 52.2269797783933 35.1125207756233 19 Male
3933197 DiagramStandard f5WOro9JgxOisjQGg1qnrKvr APPROVED 2020-10-15T01:01:33Z NA NA 46.69 26.5 20 Male
398247 DiagramNoStandard EFUtSPDZ6Pypa0l8QxIIgXD7 APPROVED 2020-11-25T16:28:26Z NA NA 51.56 31.56 27 Female
2378712 DiagramNoStandard 7ODCAw1vWxqVI31fCEkwEu05 APPROVED 2020-10-26T10:42:52Z NA NA 33.96 67.6166666666667 20 Female
8478969 DiagramStandard 9GNVy6E5ZEATqP1IL26yo6I9 APPROVED 2020-10-25T08:58:32Z NA NA 34.12 31.98 20 Male
303318 StandardOnly lNVWVTYIasoG1VQ77cj7f1hK APPROVED 2020-11-29T22:52:34Z NA NA 37.9565597796143 23.46 22 Male
8345648 PictureMatching r0wZTJHytbFM48mExHdeadVm APPROVED 2020-11-22T19:45:54Z NA NA 68.11 22.4225207756233 21 Female
40518 StandardOnly ZKor0t7QeFYYlL5fKCCAhy2S APPROVED 2020-11-16T18:37:32Z NA NA 6.05655977961431 12.8553719008264 22 Male
912969 DiagramStandard MwW36SwIoEpI7dETHbkKp2cn APPROVED 2020-10-20T08:25:07Z NA NA 33.91 27.7635087719299 22 Male
9114039 DiagramNoStandard xjH2f3DkNTiipHjI8VB5okvb APPROVED 2020-10-29T17:25:08Z NA NA 69.612571166667 39.2 19 Male
2792233 PictureMatching h7Goy1mXKF0N2zlNNLx7Yy1V APPROVED 2020-11-21T19:44:08Z NA NA 48.9069797783933 45.45 22 Male
6194436 StandardOnly rQUmfVlRdENbpAJ8cnOfJkCc APPROVED 2020-10-27T00:45:38Z NA NA 27.69 28.6953719008264 21 Male
2909590 DiagramNoStandard CXlzDghijVba9Wsl3AkKDPgN APPROVED 2020-10-05T14:45:20Z NA NA 74.782571166667 22.0043333333334 22 Female
7250480 DiagramStandard ysa36mS3JurBaSEMmx7CJ3kz APPROVED 2020-10-07T13:42:16Z NA NA 33.4038864265928 25.17 20 Male
473089 PictureMatching zTMrpfO39csVHpHrznG2Q2gb APPROVED 2020-11-07T06:32:54Z NA NA 110.03915 28.25 21 Male
6604237 StandardOnly la2BWJ0QsBKlP97iXj9fq53e APPROVED 2020-10-02T19:42:25Z NA NA 23.9565597796143 12.91 21 Female
441482 DiagramNoStandard ksu6nkDGIYcTLzKOkWglJI8U APPROVED 2020-11-17T14:16:51Z NA NA 46.622571166667 31.2743333333334 22 Female
4103412 DiagramStandard a4LPMWSs6m0nnuoheH7x8l3Y APPROVED 2020-11-20T22:09:58Z NA NA 42.6138864265928 16.49 21 Female
400340 StandardOnly Axfwwnn45JQI7nTEQebBJ5fY APPROVED 2020-11-09T18:44:15Z NA NA 8.91 30.6553719008264 18 Male
732473 PictureMatching uWBdErJuG4xVHA5OWGXOhqaS APPROVED 2020-11-18T18:16:24Z NA NA 48.14 33.55 19 Male
2818913 DiagramStandard q2EXFsc52S5Eg4ZqLIePTald APPROVED 2020-11-03T05:19:56Z NA NA 31.86 36.2135087719298 22 Male
5412943 StandardOnly klatoDbgt00iYDOcb1XSPAxp APPROVED 2020-10-24T02:26:04Z NA NA 18.93 6.60537190082642 20 Male
