Participant_ID Local_Date Trial Experiment Participant Event_Index Condition Participant_Monitor_Size Screen_Name Zone_Name Reaction_Time Response Time_On_Task Time_On_Task_New
1071064 "2021-04-21 07:21:02" Muziek 1 1657507 2 PictureMatching 1366x768 Text advancementZone 77637.14421052655 NA 16.8666666666667 27.46
1071064 "2021-04-21 07:21:03" Muziek 1 1657507 3 PictureMatching 1366x768 JoL1 One 1572.2941227996444 1 16.8666666666667 27.46
1071064 "2021-04-21 07:21:04" Muziek 1 1657507 4 PictureMatching 1366x768 IntroPictureMatching advancementZone 1698.55 NA 16.8666666666667 27.46
1071064 "2021-04-21 07:21:05" Muziek 1 1657507 5 PictureMatching 1366x768 PictureMatching advancementZone 30047.79 3 16.8666666666667 27.46
1071064 "2021-04-21 07:21:06" Muziek 1 1657507 6 PictureMatching 1366x768 PictureMatching Zone1 46730.1719471338 NA 16.8666666666667 27.46
1071064 "2021-04-21 07:21:07" Muziek 1 1657507 7 PictureMatching 1366x768 JoL2 One 1741.5626315801978 1 16.8666666666667 27.46
1071064 "2021-04-21 07:21:08" Muziek 1 1657507 8 PictureMatching 1366x768 InstructieToets advancementZone 1429.1888420993319 NA 16.8666666666667 27.46
1071064 "2021-04-21 07:21:09" Muziek 1 1657507 9 PictureMatching 1366x768 Test buttonA 71960.81 "XtNSjM qyQHbd Lb6HJ Xgs 6WLh IfNCwf ZET5E tV2cLX Rh9 bb0Jb vXI z2M WE0EP px7 Ghg tvfZ yfRSL sBD jLP3 0cGmm" 16.8666666666667 27.46
1071064 "2021-04-21 07:22:10" ReadyForNext 1 1657507 11 PictureMatching 1366x768 ReadyForNext advancementZone 44338.29824998065 NA 16.8666666666667 27.46
1071064 "2021-04-21 07:23:11" Metro 1 1657507 12 PictureMatching 1366x768 Text advancementZone 72950.31421052654 NA 16.8666666666667 27.46
1071064 "2021-04-21 07:23:12" Metro 1 1657507 13 PictureMatching 1366x768 JoL1 Two 985.264122799644 2 16.8666666666667 27.46
1071064 "2021-04-21 07:23:13" Metro 1 1657507 14 PictureMatching 1366x768 IntroPictureMatching advancementZone 3651.5 NA 16.8666666666667 27.46
1071064 "2021-04-21 07:23:14" Metro 1 1657507 15 PictureMatching 1366x768 PictureMatching advancementZone 52531.8919471338 1 16.8666666666667 27.46
1071064 "2021-04-21 07:23:15" Metro 1 1657507 16 PictureMatching 1366x768 PictureMatching Zone1 65954.7419471338 NA 16.8666666666667 27.46
1071064 "2021-04-21 07:23:16" Metro 1 1657507 17 PictureMatching 1366x768 JoL2 Three 1945.3526315801978 3 16.8666666666667 27.46
1071064 "2021-04-21 07:23:17" Metro 1 1657507 18 PictureMatching 1366x768 InstructieToets advancementZone 2383.21 NA 16.8666666666667 27.46
1071064 "2021-04-21 07:23:18" Metro 1 1657507 19 PictureMatching 1366x768 Test buttonA 114345.27649122433 "qBdh adkjV YcVGn PqKz FDH5I2 2PEuTh LMs Y2qr tVA 1X8A QvAvp ecUn Sm07F ts9g WYjs RZig JmoSg mQPwx hMT2S sVy1YM uUZS7 JwCpm yR7u2 HpGUOE xuiXCt LPP RnRB R7d tdgHZV W4So 0EDK TXbbG" 16.8666666666667 27.46
1071064 "2021-04-21 07:22:19" ReadyForNext 1 1657507 21 PictureMatching 1366x768 ReadyForNext advancementZone 16926.078249980656 NA 16.8666666666667 27.46
1071064 "2021-04-21 07:24:20" Geld 1 1657507 22 PictureMatching 1366x768 Text advancementZone 6085.58421052655 NA 16.8666666666667 27.46
1071064 "2021-04-21 07:24:21" Geld 1 1657507 23 PictureMatching 1366x768 JoL1 Four 3268.9 4 16.8666666666667 27.46
1071064 "2021-04-21 07:24:22" Geld 1 1657507 24 PictureMatching 1366x768 IntroPictureMatching advancementZone 3084.91 NA 16.8666666666667 27.46
1071064 "2021-04-21 07:24:23" Geld 1 1657507 25 PictureMatching 1366x768 PictureMatching advancementZone 65586.79 2 16.8666666666667 27.46
1071064 "2021-04-21 07:24:24" Geld 1 1657507 26 PictureMatching 1366x768 PictureMatching Zone1 51102.5919471338 NA 16.8666666666667 27.46
1071064 "2021-04-21 07:24:25" Geld 1 1657507 27 PictureMatching 1366x768 JoL2 One 2363.6926315801975 1 16.8666666666667 27.46
1071064 "2021-04-21 07:24:26" Geld 1 1657507 28 PictureMatching 1366x768 ToetsInstructie advancementZone 26583.2350000273 NA 16.8666666666667 27.46
1071064 "2021-04-21 07:24:27" Geld 1 1657507 29 PictureMatching 1366x768 Test buttonA 103621.32649122433 "anAWr gcsDC9 BISlja M1H9 Zcm 1lKt QgqKa oK4kKg Qeaur 783ma lBJ p6jq nEPEK a4L2Go P5YPn" 16.8666666666667 27.46
1071064 "2021-04-21 07:22:28" ReadyForNext 1 1657507 31 PictureMatching 1366x768 ReadyForNext advancementZone 43933.1 NA 16.8666666666667 27.46
1071064 "2021-04-21 07:25:29" Beton 1 1657507 32 PictureMatching 1366x768 Text advancementZone 103803.28421052653 NA 16.8666666666667 27.46
1071064 "2021-04-21 07:25:30" Beton 1 1657507 33 PictureMatching 1366x768 JoL1 Three 3111.1441227996443 3 16.8666666666667 27.46
